paper,table,reporter,promoter,cells,sample,expression_diff,p_adj
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,HT1080.WT-f.SV40pA ,-1.781 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,m.SV40pA.1-f.SV40pA ,-0.312 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,m.SV40pA.2-f.SV40pA ,-0.097 ,0.964 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,m.SV40pA.3-f.SV40pA ,-0.078 ,0.999 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,m.SV40pA.4-f.SV40pA ,-0.028 ,1.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,no.terminator-f.SV40pA ,-1.187 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.ACTB.1-f.SV40pA ,-0.363 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.ACTB.2-f.SV40pA ,-0.812 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.ACTB.3-f.SV40pA ,0.013 ,1.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.ACTB.4-f.SV40pA ,0.042 ,1.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.ACTB.f-f.SV40pA ,-0.387 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.EEF1A1.1-f.SV40pA ,-0.411 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.EEF1A1.2-f.SV40pA ,-0.252 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.EEF1A1.3-f.SV40pA ,-0.537 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.EEF1A1.4-f.SV40pA ,-0.432 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.GAPDH.1-f.SV40pA ,-0.432 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,T.GAPDH.2-f.SV40pA ,0.038 ,1.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.01-f.SV40pA ,-0.128 ,0.520 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.02-f.SV40pA ,-0.075 ,1.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.03-f.SV40pA ,-0.088 ,0.992 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.04-f.SV40pA ,-0.146 ,0.216 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.05-f.SV40pA ,-0.180 ,0.016 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.06-f.SV40pA ,-0.107 ,0.880 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.07-f.SV40pA ,-0.081 ,0.998 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.08-f.SV40pA ,-0.650 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.09-f.SV40pA ,-0.091 ,0.987 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.10-f.SV40pA ,-0.115 ,0.757 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.11-f.SV40pA ,-0.732 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.12-f.SV40pA ,-0.190 ,0.007 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.13-f.SV40pA ,-0.018 ,1.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.14-f.SV40pA ,-0.145 ,0.225 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.15-f.SV40pA ,-0.214 ,0.001 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.16-f.SV40pA ,-0.442 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.17-f.SV40pA ,-0.437 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.18-f.SV40pA ,-0.642 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.19-f.SV40pA ,-0.559 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.20-f.SV40pA ,-0.107 ,0.876 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.21-f.SV40pA ,-0.566 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.22-f.SV40pA ,-0.802 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.23-f.SV40pA ,-0.715 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.24-f.SV40pA ,-0.574 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.25-f.SV40pA ,-0.145 ,0.229 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.26-f.SV40pA ,-0.596 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.27-f.SV40pA ,-0.099 ,0.952 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.28-f.SV40pA ,-0.046 ,1.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.29-f.SV40pA ,-0.494 ,0.000 
2019_Cheng_Alper,S1,hrGFP,EIF4A1,HT1080,Tm.synth.30-f.SV40pA ,-0.444 ,0.000 
2019_Cheng_Alper,S2,hrGFP,EIF4A1,HT1080,no.terminator-f.SV40pA ,-1.856 ,NA
2019_Cheng_Alper,S2,hrGFP,EIF4A1,HT1080,T.GAPDH.1-f.SV40pA ,-0.312 ,NA
2019_Cheng_Alper,S2,hrGFP,EIF4A1,HT1080,T.GAPDH.2-f.SV40pA ,0.059 ,NA
2019_Cheng_Alper,S2,hrGFP,EIF4A1,HT1080,Tm.synth.02-f.SV40pA ,-0.172 ,NA
2019_Cheng_Alper,S2,hrGFP,EIF4A1,HT1080,Tm.synth.15-f.SV40pA ,-0.188 ,NA
2019_Cheng_Alper,S2,hrGFP,EIF4A1,HT1080,Tm.synth.17-f.SV40pA ,-0.399 ,NA
2019_Cheng_Alper,S2,hrGFP,EIF4A1,HT1080,Tm.synth.22-f.SV40pA ,-1.017 ,NA
2019_Cheng_Alper,S3,SEAP,NA,HT1080,no.terminator-f.SV40pA ,-0.120 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,T.GAPDH.2-f.SV40pA ,-0.057 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,T.ACTB.4-f.SV40pA ,-0.020 ,0.011 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.08-f.SV40pA ,-0.112 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.09-f.SV40pA ,-0.079 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.10-f.SV40pA ,-0.109 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.18-f.SV40pA ,-0.100 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.19-f.SV40pA ,-0.014 ,0.384 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.20-f.SV40pA ,0.009 ,0.914 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.23-f.SV40pA ,-0.111 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.24-f.SV40pA ,-0.064 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.25-f.SV40pA ,-0.041 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.26-f.SV40pA ,-0.099 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.27-f.SV40pA ,-0.052 ,0.000 
2019_Cheng_Alper,S3,SEAP,NA,HT1080,Tm.synth.28-f.SV40pA ,-0.048 ,0.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,HT1080.WT-pEEF1A1.f.SV40pA ,-2.443 ,0.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.no.terminator-pEEF1A1.f.SV40pA ,-1.017 ,0.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.T.GAPDH.2-pEEF1A1.f.SV40pA ,-0.395 ,0.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.T.ACTB.4-pEEF1A1.f.SV40pA ,-0.255 ,0.004 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.08-pEEF1A1.f.SV40pA ,-0.197 ,0.084 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.09-pEEF1A1.f.SV40pA ,-0.066 ,0.999 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.10-pEEF1A1.f.SV40pA ,0.106 ,0.907 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.18-pEEF1A1.f.SV40pA ,-0.228 ,0.019 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.19-pEEF1A1.f.SV40pA ,0.022 ,1.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.20-pEEF1A1.f.SV40pA ,0.107 ,0.901 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.23-pEEF1A1.f.SV40pA ,-0.259 ,0.004 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.24-pEEF1A1.f.SV40pA ,0.070 ,0.998 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.25-pEEF1A1.f.SV40pA ,-0.042 ,1.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.26-pEEF1A1.f.SV40pA ,-0.312 ,0.000 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.27-pEEF1A1.f.SV40pA ,0.150 ,0.439 
2019_Cheng_Alper,S4,hrGFP,pEEF1A1,HT1080,pEEF1A1.Tm.synth.28-pEEF1A1.f.SV40pA ,0.063 ,0.999 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,HEK293-f.SV40pA ,-0.449 ,0.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,no.terminator-f.SV40pA ,-0.301 ,0.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,T.GAPDH.2-f.SV40pA ,0.073 ,0.183 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,T.ACTB.4-f.SV40pA ,0.008 ,1.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.08-f.SV40pA ,-0.157 ,0.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.09-f.SV40pA ,-0.043 ,0.915 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.10-f.SV40pA ,-0.039 ,0.957 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.18-f.SV40pA ,-0.084 ,0.060 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.19-f.SV40pA ,0.046 ,0.857 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.20-f.SV40pA ,0.049 ,0.804 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.23-f.SV40pA ,-0.145 ,0.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.24-f.SV40pA ,0.031 ,0.996 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.25-f.SV40pA ,-0.086 ,0.049 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.26-f.SV40pA ,-0.116 ,0.001 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.27-f.SV40pA ,0.015 ,1.000 
2019_Cheng_Alper,S5,hrGFP,EIF4A1,HEK293,Tm.synth.28-f.SV40pA ,-0.006 ,1.000 